date,open,high,low,close,change,volume
2020-06-23,7.98,8.97,7.98,8.03,0.049999999999999,0
2020-06-22,8.03,8.59,7.98,7.98,0.010000000000001,0
2020-06-19,8.29,8.66,7.94,7.97,-0.32,0
2020-06-18,8.38,9.04,8.17,8.29,-0.090000000000002,0
2020-06-17,8.76,9.2,8.19,8.38,-0.37,0
2020-06-16,8.54,9.55,8.4,8.75,0.14,0
2020-06-15,9.04,10.22,8.52,8.61,-0.43,0
2020-06-12,8.96,9.96,8.47,9.04,0.059999999999999,0
2020-06-11,8.28,9.55,8.2,8.98,0.66,0
2020-06-10,7.83,9,7.83,8.32,0.47,0
2020-06-09,7.4,8.09,7.4,7.85,0.45,0
2020-06-08,7.3,7.84,7.2,7.4,0.1,0
2020-06-05,7.42,7.76,7.11,7.3,-0.12,0
2020-06-04,6.9,7.75,6.89,7.42,-0.03,0
2020-06-03,7.3,7.78,7.13,7.45,0.6,0
2020-06-02,6.9,7.64,6.77,6.85,-0.050000000000001,0
2020-06-01,6.9,7.75,6.68,6.9,0.18,0
2020-05-29,7.34,7.98,6.65,6.72,-0.58,0
2020-05-28,6.88,7.76,6.87,7.3,0.42,0
2020-05-27,6.79,7.12,6.75,6.88,0.09,0
2020-05-26,6.82,7.54,6.74,6.79,-0.03,0
2020-05-22,7.07,7.52,6.78,6.82,-0.25,0
2020-05-21,7.25,8.19,6.83,7.07,-0.18,0
2020-05-20,7.18,7.77,7.02,7.25,0.07,0
2020-05-19,6.96,7.99,6.96,7.18,0.22,0
2020-05-18,8.42,9.66,6.54,6.96,-1.46,0
2020-05-15,7.47,10.1,7.13,8.42,-0.040000000000001,0
2020-05-14,8.68,9.65,8.01,8.46,1.18,0
2020-05-13,8.44,9.12,7.23,7.28,-1.16,0
2020-05-12,8.04,9.63,7.33,8.44,0.57,0
2020-05-11,8.17,9.75,7.77,7.87,-0.3,0
2020-05-08,8.23,9.25,7.42,8.17,-0.06,0
2020-05-07,8.23,9.28,7.88,8.23,0,0
2020-05-06,8.24,8.91,8.01,8.23,0.02,0
2020-05-05,8.35,8.93,7.91,8.21,-0.14,0
2020-05-04,8.02,9.51,8.02,8.35,0.33,0
2020-05-01,8.02,9.97,7.86,8.02,0,0
2020-04-30,7.6,8.74,7.6,8.02,-0.88,0
2020-04-29,8.78,10.7,7.78,8.9,0.12,0
2020-04-28,9.62,11.24,8.5,8.78,-0.82,0
2020-04-27,9.89,10.49,8.86,9.6,-0.29,0
2020-04-24,9.64,11.37,9.24,9.89,0.25,0
2020-04-23,9.89,11.62,9.46,9.64,-0.19,0
2020-04-22,8.88,11.09,8.74,9.83,0.06,0
2020-04-21,9.3,10.6,9.3,9.77,0.47,0
2020-04-20,9.24,9.59,8.78,9.3,0.06,0
2020-04-17,9.95,10.45,8.92,9.24,-0.71,0
2020-04-16,9.12,10.09,8.99,9.95,0.82,0
2020-04-15,8.73,10.7,8.39,9.13,0.54,0
2020-04-14,8.97,9.04,8.21,8.59,-0.13,0
2020-04-13,8.76,9.18,8.55,8.72,-0.039999999999999,0
2020-04-09,9.43,9.5,8.71,8.76,-0.58,0
2020-04-08,10.22,10.22,8.48,9.34,-0.67,0
2020-04-07,10.27,11.15,9.87,10.01,-0.91,0
2020-04-06,11.7,11.7,10.25,10.92,-0.78,0
2020-04-03,12.31,15.42,11.44,11.7,-0.43,0
2020-04-02,10.02,12.45,10.02,12.13,0.08,0
2020-04-01,12.18,15.97,10.79,12.05,0.79,0
2020-03-31,12.34,18.27,11.25,11.26,-1.06,0
2020-03-30,11.88,12.78,11.07,12.32,0.4,0
2020-03-27,10.84,13.03,10.84,11.92,0.33,0
2020-03-26,11.68,12.08,10.74,11.59,0.33,0
2020-03-25,12.74,12.79,10.48,11.26,-3.13,0
2020-03-24,14.86,16.92,13.69,14.39,-2.05,0
2020-03-23,17.28,17.35,15.43,16.44,-0.84,0
2020-03-20,18.07,18.07,15.78,17.28,-0.78,0
2020-03-19,18.03,19.37,16.69,18.06,-1.25,0
2020-03-18,15.65,21.61,14.5,19.31,5.05,0
2020-03-17,15.9,16.49,13.13,14.26,-1.95,0
2020-03-16,14.18,25.61,13.28,16.21,2.02,0
2020-03-13,11.62,18.33,9.45,14.19,2.57,0
2020-03-12,11.56,16.17,10.5,11.62,0.059999999999999,0
2020-03-11,10.68,12.06,10.58,11.56,0.88,0
2020-03-10,13.12,13.12,9.59,10.68,-2.44,0
2020-03-09,11.44,21.9,11.41,13.12,3.83,0
2020-03-06,8.91,10.22,8.91,9.29,1.23,0
2020-03-05,7.68,8.59,6.85,8.06,1.43,0
2020-03-04,7.98,7.98,6.34,6.63,-1.35,0
2020-03-03,7.25,8.13,6.8,7.98,-0.22,0
2020-03-02,8.18,8.49,8.03,8.2,0.38,0
2020-02-28,7.07,7.94,7.07,7.82,0.75,0
2020-02-27,6.21,7.07,6.21,7.07,0.86,0
2020-02-26,6.17,6.27,5.84,6.21,0.04,0
2020-02-25,5.59,6.29,5.57,6.17,0.28,0
2020-02-24,5.36,6.06,5.36,5.89,0.53,0
2020-02-21,5.46,5.69,4.84,5.36,-0.33,0
2020-02-20,5.4,5.72,5.22,5.69,0.29,0
2020-02-19,5.4,5.69,5.12,5.4,0,0
2020-02-18,5.22,5.53,5.16,5.4,0.18,0
2020-02-14,5.38,5.38,4.95,5.22,-0.16,0
2020-02-13,5,5.43,5,5.38,0.38,0
2020-02-12,4.93,5.2,4.71,5,0.07,0
2020-02-11,4.9,5.07,4.78,4.93,0.029999999999999,0
2020-02-10,4.81,4.99,4.51,4.9,0.27,0
2020-02-07,4.4,4.73,4.4,4.63,0.23,0
2020-02-06,4.27,4.63,4.19,4.4,-0.06,0
2020-02-05,4.39,4.59,4.18,4.46,0.07,0
2020-02-04,4.65,4.65,4.3,4.39,-0.26,0
2020-02-03,4.65,4.84,4.4,4.65,0,0
2020-01-31,4.5,4.95,4.29,4.65,0.46,0
2020-01-30,4.19,4.35,4.13,4.19,0,0
2020-01-29,4.46,4.53,4.14,4.19,-0.27,0
2020-01-28,4.63,4.99,4.41,4.46,-0.17,0
2020-01-27,4.35,4.73,4.35,4.63,0.33,0
2020-01-24,4.15,4.32,3.97,4.3,0.15,0
2020-01-23,4.16,4.32,3.98,4.15,-0.0099999999999998,0
2020-01-22,4.13,4.27,3.97,4.16,0.03,0
2020-01-21,4.28,4.31,4.01,4.13,-0.15,0
2020-01-17,4.15,4.5,3.78,4.28,0.05,0
2020-01-16,4.3,4.4,4.06,4.23,-0.069999999999999,0
2020-01-15,4.26,4.45,4.15,4.3,0.04,0
2020-01-14,4.19,4.84,3.82,4.26,-0.14,0
2020-01-13,4.49,4.69,4.06,4.4,-0.09,0
2020-01-10,4.56,4.56,4.49,4.49,-0.069999999999999,0
2020-01-09,4.58,4.78,4.41,4.56,-0.17,0
2020-01-08,4.96,5.14,4.52,4.73,-0.23,0
2020-01-07,5.15,5.31,4.94,4.96,-0.18,0
2020-01-06,5.18,5.3,5.06,5.14,-0.04,0
2020-01-03,5.34,5.82,5.1,5.18,-0.04,0
