date,currency,impact,description,actual,forecast,previous,revisedFrom,eventId,
2008-01-01 01:01:00,CNY,N,Bank Holiday [All Day],,,,,23282,
2008-01-01 01:01:00,EUR,N,French Bank Holiday [All Day],,,,,12200,
2008-01-01 01:01:00,EUR,N,German Bank Holiday [All Day],,,,,12187,
2008-01-01 01:01:00,EUR,N,Italian Bank Holiday [All Day],,,,,12222,
2008-01-01 01:01:00,GBP,N,Bank Holiday [All Day],,,,,12028,
2008-01-01 01:01:00,JPY,N,Bank Holiday [All Day],,,,,12061,
2008-01-01 01:01:00,NZD,N,Bank Holiday [All Day],,,,,12090,
2008-01-01 01:01:00,USD,N,Bank Holiday [All Day],,,,,12005,
2008-01-01 19:30:00,AUD,L,AIG Manufacturing Index,57.6,,53.8,,6564,
2008-01-01 23:30:00,CNY,M,Caixin Manufacturing PMI,53.3,,52.8,,18342,
2008-01-02 01:01:00,CHF,N,Bank Holiday [All Day],,,,,48240,
2008-01-02 01:01:00,JPY,N,Bank Holiday [All Day],,,,,6569,
2008-01-02 02:30:00,AUD,M,Commodity Prices y/y,1.80%,,1.60%,2.00%,10297,
2008-01-02 05:15:00,EUR,L,Spanish Manufacturing PMI,49.5,,50.7,,43801,
2008-01-02 05:45:00,EUR,L,Italian Manufacturing PMI,50.7,51.2,51.3,,43455,
2008-01-02 06:00:00,EUR,L,Final Manufacturing PMI,52.6,52.5,52.5,,6571,
2008-01-02 06:30:00,GBP,M,Final Manufacturing PMI,52.9,53.9,54.3,54.4,6572,
2008-01-02 07:07:00,EUR,L,German 10-y Bond Auction,4.35|1.2,,4.19|2.0,,43183,
2008-01-02 12:00:00,USD,H,ISM Manufacturing PMI,47.7,50.7,50.8,,6573,
2008-01-02 12:00:00,USD,L,Construction Spending m/m,0.10%,-0.40%,-0.40%,-0.80%,6575,
2008-01-02 12:00:00,USD,L,ISM Manufacturing Prices,68,65,67.5,,6574,
2008-01-02 16:00:00,USD,H,FOMC Meeting Minutes,,,,,6605,
2008-01-02 22:00:00,CNY,L,Non-Manufacturing PMI,58.8,,54.1,,42296,
