Settings,Initial balance,Net profit,End balance,Average winrate(%),Total gross profit,Total gross loss,Profit factor,Annual ROI(%),Total ROI(%),Total trades,Max DD
"{'evz_treshold': 2.0, 'RiskPercent': 0.6, 'scaleOut': True}",10000.0,1839.05,11839.05,48.17,8213.83,-6374.78,1.29,3.68,18.39,480,6.97
"{'evz_treshold': 2.0, 'RiskPercent': 0.6, 'scaleOut': False}",10000.0,578.62,10578.62,49.17,3802.19,-3223.57,1.18,1.16,5.79,249,3.41
"{'evz_treshold': 2.0, 'RiskPercent': 0.7999999999999999, 'scaleOut': True}",10000.0,2424.17,12424.17,48.17,10954.26,-8530.09,1.28,4.85,24.24,480,9.19
"{'evz_treshold': 2.0, 'RiskPercent': 0.7999999999999999, 'scaleOut': False}",10000.0,696.67,10696.67,49.17,5020.84,-4324.16,1.16,1.39,6.97,249,4.61
"{'evz_treshold': 2.0, 'RiskPercent': 1.0, 'scaleOut': True}",10000.0,2924.77,12924.77,48.17,13703.77,-10779.0,1.27,5.85,29.25,480,11.57
"{'evz_treshold': 2.0, 'RiskPercent': 1.0, 'scaleOut': False}",10000.0,957.52,10957.52,49.17,6338.75,-5381.23,1.18,1.92,9.58,249,5.63
"{'evz_treshold': 2.0, 'RiskPercent': 1.2000000000000002, 'scaleOut': True}",10000.0,3718.53,13718.53,48.17,16693.58,-12975.05,1.29,7.44,37.19,480,13.7
"{'evz_treshold': 2.0, 'RiskPercent': 1.2000000000000002, 'scaleOut': False}",10000.0,1240.47,11240.47,49.17,7650.18,-6409.71,1.19,2.48,12.4,249,7.0
"{'evz_treshold': 2.0, 'RiskPercent': 1.4000000000000001, 'scaleOut': True}",10000.0,4239.25,14239.25,48.17,19466.0,-15226.75,1.28,8.48,42.39,480,17.02
"{'evz_treshold': 2.0, 'RiskPercent': 1.4000000000000001, 'scaleOut': False}",10000.0,1347.25,11347.25,49.17,8889.21,-7541.96,1.18,2.69,13.47,249,7.99
"{'evz_treshold': 2.0, 'RiskPercent': 1.6, 'scaleOut': True}",10000.0,4810.69,14810.69,48.17,22170.77,-17360.08,1.28,9.62,48.11,480,19.1
